Staff ID,Instructor,Module Code,Module Title,Primary Major,Affiliated Majors,Mode of Teaching ,Section,Day,Start,End,Duration,Room,Location
yncgsj,Multiple instructors,YCC1111,Literature and Humanities 1,Common Curriculum (Lecture),-,Remote,CC,Fri,9:30,10:30,1:00,NA,NA
yncwmd,Multiple instructors,YCC1113,Philosophy and  Political Thought 1,Common Curriculum (Lecture),-,Remote,CC,Mon,9:30,10:30,1:00,NA,NA
yncmm,Multiple instructors,YCC1121,Comparative Social Inquiry,Common Curriculum (Lecture),-,Remote,CC,Tue,13:00,14:00,1:00,NA,NA
ynctch,Multiple instructors,YCC2121,Modern Social Thought,Common Curriculum (Lecture),-,Remote,CC,Wed,9:30,10:30,1:00,NA,NA
yncccym,Multiple instructors,YCC2137,Scientific Inquiry 2,Common Curriculum (Lecture),-,Remote,CC,Mon,11:00,12:00,1:00,NA,NA
